name,year,Overall Index,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,InequalityRate
Romania,2003,50.6,30,28,56.7,69.1,62.4,90.4333333333333,55,61.4214285714286,50.8,60.2,50,50,6.925
Slovakia,2003,59,50,37,38,67.5,22.3,85,70,65.3071428571429,71.3,72.8,70,70,3.725
Slovenia,2003,57.7,50,52,53.1,53.1,40.6,51.6666666666667,85,47.2285714285714,76.7,62.2,50,50,3.375
Spain,2003,68.8,70,70,55.7666666666667,52.6,52.2,38.0333333333333,70,51.7,83.3,81.4,70,70,5.425
Sweden,2003,70,90,90,84.8,29.8,2.9,95.3666666666667,70,57.1571428571429,86.4,81.4,90,90,3.375
Switzerland,2003,79,90,84,80.5666666666667,80.4,55.3,96,70,79.7642857142857,88.3,83,70,90,4.725
Turkey,2003,51.9,50,36,52.2666666666667,64.6,45,93.8333333333333,55,44.0571428571429,42.9,73.6,50,50,10.05
United Kingdom,2003,77.5,90,83,90.9,60.9,51,54.1666666666667,85,75.1357142857143,85.9,81.4,70,90,5.55
Austria,2002,67.4,90,77,78,44.5,18.9,82.1,70,74.8642857142857,86.4,79.6,70,70,3.85
Belgium,2002,67.6,90,61,66.8,33.7,28,69.2,70,67.5714285714286,86,79.6,90,70,4.1
Bulgaria,2002,57.1,50,35,41.1,68.3,49.6,93.1666666666667,55,77.2,75.8,60.2,70,50,3.8
Croatia,2002,51.1,30,37,52.0666666666667,68.3,25,65.7666666666667,55,43.2071428571429,75.7,68.8,50,50,5.45
Cyprus,2002,73,90,70,55.1666666666667,71.2,58.9,77.5,85,65.5642857142857,83.5,78.8,50,70,4.325
Denmark,2002,71.1,90,98,76.6333333333333,32.2,5.9,96.2666666666667,85,93.2857142857143,89.6,79.6,70,90,3.475
Estonia,2002,77.6,70,57,80.9,80,54.4,99.8,85,53.2,87,85,90,90,6.1
Finland,2002,73.6,90,100,82.2,55.6,28,81.6,85,47.5642857142857,84.6,79.6,70,70,3.7
France,2002,58,70,67,70.5,37.2,15.7,60.9,70,50.9928571428571,82.7,79.6,50,50,3.9
Germany,2002,70.4,90,76,77.6333333333333,53.3,36.5,90.8333333333333,70,45.5,88,79.6,90,50,4.4
Greece,2002,59.1,50,49,54.8666666666667,50.1,54.4,69.2,70,53.0571428571429,78.7,79.6,50,50,6.05
Iceland,2002,73.1,90,91,69.3,63.1,44.5,93.8666666666667,85,62.3285714285714,81.7,82.2,70,50,3.625
Ireland,2002,80.5,90,72,75.2333333333333,66.5,69.3,76.7,85,77.75,81.8,79.6,90,90,4.925
Italy,2002,63.6,70,46,55.3666666666667,48,33.7,68.8,70,58.6428571428572,85.5,79.6,70,70,5.5
Latvia,2002,65,50,34,55.6666666666667,76.8,49.6,95.7333333333333,70,64.3285714285714,84.4,80,70,70,7.05
Lithuania,2002,66.1,50,41,63.4333333333333,74.1,69.3,95.8666666666667,70,59.6,87.7,82.8,70,50,6.3
Luxembourg,2002,79.4,90,86,75.7666666666667,56.8,52,98.9666666666667,85,44.6642857142857,85.2,79.6,90,90,4.025
Malta,2002,62.2,90,30,58.7,64.6,30.9,89.8666666666667,70,59,79.1,75.4,50,70,4.025
Netherlands,2002,75.1,90,89,72.9,43.6,39.3,88.1666666666667,70,62.4357142857143,84.6,79.6,90,90,4
Norway,2002,67.4,90,91,83.5,51.1,41.9,97.8333333333333,70,48.2571428571429,79.3,82.8,50,50,3.2
Poland,2002,65,70,41,52.8666666666667,65.3,49.6,81.3333333333333,70,61.0571428571428,70.4,78.8,70,70,5.65
Portugal,2002,65.4,70,64,67.7666666666667,60.8,39.3,49.3,70,39.4285714285714,84.7,79.6,70,50,7.3
Romania,2002,48.7,30,29,56.7,64.4,58.9,90.4333333333333,55,61.4214285714286,46.6,74.4,50,30,4.7
Slovakia,2002,59.8,50,35,38,61.1,33.7,85,70,65.3071428571429,68.8,79.8,70,70,3.725
Slovenia,2002,57.8,50,55,53.1,51.8,41.9,51.6666666666667,85,47.2285714285714,72,64.2,50,50,3.1
Spain,2002,68.8,70,70,55.7666666666667,53.1,52,38.0333333333333,70,51.7,84.1,79.6,70,70,5.1
Sweden,2002,70.8,90,94,84.8,31.4,2.5,95.3666666666667,70,57.1571428571429,89.7,79.6,90,90,3.3
Switzerland,2002,79.3,90,86,80.5666666666667,80,56.7,96,70,79.7642857142857,88.1,83,70,90,4.725
Turkey,2002,54.2,50,38,52.2666666666667,65.2,58.9,93.8333333333333,55,44.0571428571429,41,79.6,50,50,10.8
United Kingdom,2002,78.5,90,87,90.9,61.5,58.9,54.1666666666667,85,75.1357142857143,84.7,79.6,70,90,5.5
Austria,2001,68.1,90,76,78,44.2,25,82.1,70,74.8642857142857,89.6,78,70,70,3.5
Belgium,2001,63.8,90,53,66.8,33.2,22,69.2,70,67.5714285714286,88.3,78,70,70,4
Bulgaria,2001,51.9,50,33,41.1,58.1,67.3,93.1666666666667,55,77.2,26.2,57.2,70,50,3.8
Croatia,2001,50.7,30,27,52.0666666666667,66.9,33.7,65.7666666666667,55,43.2071428571429,71.7,71.6,50,50,5.45
Cyprus,2001,71,90,50,55.1666666666667,71.4,58.9,77.5,85,65.5642857142857,86.2,77,50,70,4.325
Denmark,2001,68.3,90,100,76.6333333333333,31.6,0,96.2666666666667,85,93.2857142857143,90.3,78,70,70,3
Estonia,2001,76.1,70,57,80.9,79.6,67.3,99.8,85,53.2,80.6,85,90,70,6.1
Finland,2001,69.7,90,98,82.2,55.6,28,81.6,70,47.5642857142857,87.9,78,70,50,3.7
France,2001,58,70,66,70.5,33.9,18.9,60.9,70,50.9928571428571,85,78,50,50,3.9
Germany,2001,69.5,90,80,77.6333333333333,44.7,33.7,90.8333333333333,70,45.5,89.4,78,90,50,3.6
Greece,2001,63.4,70,49,54.8666666666667,50.9,54.4,69.2,70,53.0571428571429,78.3,78,70,50,5.7
Iceland,2001,73.4,90,92,69.3,62.9,58.9,93.8666666666667,70,62.3285714285714,84.6,82.4,70,50,3.625
Ireland,2001,81.2,90,77,75.2333333333333,63,71.2,76.7,85,77.75,86.6,78,90,90,4.5
Italy,2001,63,70,47,55.3666666666667,47.1,28,68.8,70,58.6428571428572,86.5,78,70,70,4.8
Latvia,2001,66.4,50,34,55.6666666666667,75.5,65.3,95.7333333333333,70,64.3285714285714,83.2,80,70,70,7.05
Lithuania,2001,65.5,50,38,63.4333333333333,71,73,95.8666666666667,70,59.6,84.8,82.8,70,50,4.9
Luxembourg,2001,80.1,90,88,75.7666666666667,52.5,58.9,98.9666666666667,85,44.6642857142857,88.6,78,90,90,3.8
Malta,2001,62.9,90,30,58.7,65.7,41.9,89.8666666666667,70,59,74.5,73.6,50,70,4.025
Netherlands,2001,73,90,90,72.9,38.4,25,88.1666666666667,70,62.4357142857143,85.7,78,90,90,4
Norway,2001,67.1,90,89,83.5,56.7,36.5,97.8333333333333,70,48.2571428571429,80.3,81,50,50,3.5
Poland,2001,61.8,70,42,52.8666666666667,61.3,44.5,81.3333333333333,70,61.0571428571428,70.9,77.6,70,50,4.7
Portugal,2001,66,70,67,67.7666666666667,61.6,41.9,49.3,70,39.4285714285714,85.2,78,70,50,6.5
Romania,2001,50,30,33,56.7,57.6,79.7,90.4333333333333,55,61.4214285714286,41.4,73.4,50,30,4.6
Slovakia,2001,58.5,50,37,38,59.3,39.3,85,70,65.3071428571429,70.8,80.2,70,50,3.725
Slovenia,2001,61.8,70,60,53.1,52.8,47.1,51.6666666666667,85,47.2285714285714,73.6,67.4,50,50,3.1
Spain,2001,68.1,70,66,55.7666666666667,53.8,54.4,38.0333333333333,70,51.7,80.7,78,70,70,5.5
Sweden,2001,66.6,90,94,84.8,33.7,2.5,95.3666666666667,70,57.1571428571429,91.4,78,70,70,3.4
Switzerland,2001,76,90,89,80.5666666666667,80.1,22,96,70,79.7642857142857,90.2,83,70,90,4.725
Turkey,2001,60.6,70,36,52.2666666666667,66.9,73,93.8333333333333,70,44.0571428571429,36.4,73,70,50,10.175
United Kingdom,2001,77.6,90,86,90.9,61.7,52,54.1666666666667,85,75.1357142857143,85.7,78,70,90,5.4
Austria,2000,68.4,90,75,78,44.2,25,82.1,70,74.8642857142857,88.4,83,70,70,3.4
Belgium,2000,63.5,90,54,66.8,33.1,18.9,69.2,70,67.5714285714286,87.9,77.8,70,70,4.3
Bulgaria,2000,47.3,50,29,41.1,67.9,54.4,93.1666666666667,55,77.2,0,49.8,70,50,3.7
Croatia,2000,53.6,30,50,52.0666666666667,68.9,41.9,65.7666666666667,55,43.2071428571429,70,67,50,50,5.45
Cyprus,2000,67.2,70,50,55.1666666666667,71.7,54.4,77.5,85,65.5642857142857,79.8,74.4,50,70,4.325
Denmark,2000,68.3,90,100,76.6333333333333,30.5,0,96.2666666666667,85,93.2857142857143,91.1,77.8,70,70,3.375
Estonia,2000,69.9,70,57,80.9,72.5,25,99.8,85,53.2,74.9,85,90,70,6.3
Finland,2000,64.3,90,96,82.2,37.2,0,81.6,70,47.5642857142857,87.8,78,70,50,3.3
France,2000,57.4,70,67,70.5,35.1,12.5,60.9,70,50.9928571428571,83.9,77.8,50,50,4.2
Germany,2000,65.7,90,79,77.6333333333333,38.6,28,90.8333333333333,70,45.5,88.1,78,70,50,3.5
Greece,2000,61,70,49,54.8666666666667,52.2,54.4,69.2,70,53.0571428571429,75.5,77.8,70,30,5.8
Iceland,2000,74,90,93,69.3,64.8,58.9,93.8666666666667,70,62.3285714285714,86.6,82.4,70,50,3.625
Ireland,2000,76.1,90,82,75.2333333333333,60.6,63.3,76.7,85,77.75,85.8,78,70,70,4.7
Italy,2000,61.9,70,46,55.3666666666667,45.6,22,68.8,70,58.6428571428572,85.7,77.8,70,70,4.8
Latvia,2000,63.4,50,27,55.6666666666667,76.8,47.1,95.7333333333333,70,64.3285714285714,78.5,81,70,70,5.5
Lithuania,2000,61.9,50,30,63.4333333333333,70.5,63.3,95.8666666666667,70,59.6,72.3,81,70,50,5
Luxembourg,2000,76.4,90,87,75.7666666666667,51.3,67.3,98.9666666666667,85,44.6642857142857,88.3,79,70,70,3.7
Malta,2000,58.3,70,30,58.7,64.1,36.5,89.8666666666667,70,59,72.9,61,70,50,4.6
Netherlands,2000,70.4,90,90,72.9,36.9,28,88.1666666666667,70,62.4357142857143,80.9,77.8,70,90,4.1
Norway,2000,70.1,90,90,83.5,57.3,41.9,97.8333333333333,70,48.2571428571429,80.4,81,70,50,3.3
Poland,2000,60,70,46,52.8666666666667,58.1,33.7,81.3333333333333,70,61.0571428571428,66.9,74.8,70,50,4.7
Portugal,2000,65.5,70,65,67.7666666666667,60.4,41.9,49.3,70,39.4285714285714,84.8,77.8,70,50,6.4
Romania,2000,52.1,30,30,56.7,58.3,63.3,90.4333333333333,55,61.4214285714286,38.1,74,70,50,4.5
Slovakia,2000,53.8,50,39,38,54.8,25,85,70,65.3071428571429,73.9,71.2,50,50,3.725
Slovenia,2000,58.3,70,50,53.1,52.9,36.5,51.6666666666667,70,47.2285714285714,71.9,73.6,50,50,3.2
Spain,2000,65.9,70,61,55.7666666666667,45.8,47.1,38.0333333333333,70,51.7,81,77.8,70,70,5.4
Sweden,2000,65.1,70,95,84.8,34.1,0,95.3666666666667,70,57.1571428571429,94.2,83,70,70,3.325
Switzerland,2000,76.8,90,89,80.5666666666667,80.7,28,96,70,79.7642857142857,92.2,81,70,90,4.725
Turkey,2000,63.4,70,34,52.2666666666667,67.2,82.7,93.8333333333333,70,44.0571428571429,31.8,75,70,70,10.175
United Kingdom,2000,77.3,90,87,90.9,62.5,49.6,54.1666666666667,85,75.1357142857143,83.6,77.8,70,90,5.2
