name,year,Overall Index,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,InequalityRate
Greece,2013,55.4,40,34,54.8666666666667,66.2,24.7,69.2,77.1,42.1,73.4,81.8,65,50,6.6
Iceland,2013,72.1,90,83,69.3,72.7,36.2,93.8666666666667,91.5,58.9,75.8,87.8,65,60,3.4
Ireland,2013,75.7,90,75,75.2333333333333,73.8,28.8,76.7,83.4,76.6,82.8,86.8,90,70,4.7
Italy,2013,60.6,50,39,55.3666666666667,55.5,25.3,68.8,76.9,52,80.2,86.8,80,60,5.8
Latvia,2013,66.5,50,42,55.6666666666667,84.4,53.6,95.7333333333333,75.7,64.4,78.3,86.8,80,50,6.3
Lithuania,2013,72.1,60,48,63.4333333333333,92.8,53.6,95.8666666666667,77.6,64.1,78.3,86.8,80,80,6.1
Luxembourg,2013,74.2,90,85,75.7666666666667,65,47.1,98.9666666666667,74.8,39,79.3,86.8,95,80,4.6
Malta,2013,67.5,75,56,58.7,61.2,44.1,89.8666666666667,61.1,65.4,80.4,86.8,85,60,4.1
Netherlands,2013,73.5,90,89,72.9,52.1,24.7,88.1666666666667,83,58.6,81.1,86.8,90,80,3.6
Norway,2013,70.5,90,90,83.5,51,40.3,97.8333333333333,92.6,44.7,76.9,89.3,70,60,3.3
Poland,2013,66,60,55,52.8666666666667,76,43,81.3333333333333,64,62.9,77.7,86.8,65,70,4.9
Portugal,2013,63.1,70,61,67.7666666666667,61.6,28.3,49.3,82.8,31,79.4,86.8,70,60,6
Romania,2013,65.1,40,36,56.7,87.9,62.2,90.4333333333333,70.4,63.5,74.7,86.8,80,50,6.8
Slovakia,2013,68.7,50,40,38,84.7,58,85,71,72.2,79.1,86.8,75,70,3.6
Slovenia,2013,61.7,60,59,53.1,65.7,22.3,51.6666666666667,80.7,40.4,81.6,86.8,70,50,3.6
Spain,2013,68,70,62,55.7666666666667,53.9,43,38.0333333333333,80.3,54.3,79.9,86.8,80,70,6.3
Sweden,2013,72.9,90,93,84.8,39.6,21,95.3666666666667,93.2,53.6,82.1,86.8,90,80,4
Switzerland,2013,81,90,88,80.5666666666667,68.1,63.8,96,75.8,87.9,86.2,90,80,80,4.2
Turkey,2013,62.9,50,42,52.2666666666667,77,64.9,93.8333333333333,68.2,43.1,73.3,85.2,65,60,8.7
United Kingdom,2013,74.8,90,78,90.9,57,27.7,54.1666666666667,94.1,71.6,72.4,86.8,90,80,4.6
Austria,2012,70.3,90,79,78,50.5,15.4,82.1,70.3,78.1,82.2,87.2,80,70,4.2
Belgium,2012,69,80,71,66.8,44.8,12.1,69.2,92.3,71.3,81.2,87.1,80,70,4
Bulgaria,2012,64.7,30,36,41.1,93.6,50.3,93.1666666666667,72.7,84.2,77.8,87.1,55,60,6.1
Croatia,2012,60.9,40,41,52.0666666666667,76.4,45,65.7666666666667,63.4,44.4,81.4,87.5,70,60,5.4
Cyprus,2012,71.8,70,63,55.1666666666667,83.3,37.1,77.5,81.6,69.9,85.7,82.1,75,70,4.7
Denmark,2012,76.2,90,93,76.6333333333333,39.8,0,96.2666666666667,99.1,92.1,80.7,87.1,90,90,3.9
Estonia,2012,73.2,80,65,80.9,79.1,38.8,99.8,75.7,56.9,79.3,87.1,90,80,5.4
Finland,2012,72.3,90,92,82.2,65.4,5.2,81.6,94.9,42.4,81.3,87.1,85,80,3.7
France,2012,63.2,80,68,70.5,53.8,5.3,60.9,83.7,51.6,82.3,82.1,55,70,4.5
Germany,2012,71,90,79,77.6333333333333,61.3,32.2,90.8333333333333,90.5,41.4,83.5,87.1,85,60,4.3
Greece,2012,55.4,50,35,54.8666666666667,65.3,16.2,69.2,76.3,36.6,72.6,82.1,60,60,6.6
Iceland,2012,70.9,90,85,69.3,73.5,21.8,93.8666666666667,92,60.9,72.5,88.2,65,60,3.4
Ireland,2012,76.9,90,80,75.2333333333333,73.9,30.4,76.7,92.8,78.4,76.7,87.1,90,70,4.8
Italy,2012,58.8,50,39,55.3666666666667,55,19.4,68.8,77.4,43,82,87.1,75,60,5.6
Latvia,2012,65.2,50,43,55.6666666666667,84.3,43.8,95.7333333333333,75.9,59.1,79.1,87.1,80,50,6.5
Lithuania,2012,71.5,60,50,63.4333333333333,93.6,41.7,95.8666666666667,79.2,64.6,79.3,87.1,80,80,5.3
Luxembourg,2012,74.5,90,85,75.7666666666667,63.6,46.6,98.9666666666667,75.9,40.9,81.3,87.1,95,80,4.1
Malta,2012,67,70,56,58.7,67.8,43.8,89.8666666666667,70,60,80.5,87.1,75,60,3.9
Netherlands,2012,73.3,90,88,72.9,51.2,20.9,88.1666666666667,81.9,60,83.6,87.1,90,80,3.6
